2026-03-11 00:00:11, MOVE, v:1, k:ed@rotten, mode:PICK
2026-03-11 00:01:00, MOVE, v:1, k:ed@rotten, mode:BACK
2026-03-11 00:01:01, MOVE, v:1, k:ed@caminho, mode:PICK
2026-03-11 00:01:27, MOVE, v:1, k:ed@caminho, mode:BACK
2026-03-11 00:01:28, MOVE, v:1, k:ed@detonate, mode:PICK
2026-03-11 00:02:20, MOVE, v:1, k:ed@detonate, mode:BACK
2026-03-11 00:02:21, MOVE, v:1, k:ed@escapeSpread, mode:PICK
2026-03-11 00:03:11, MOVE, v:1, k:ed@escapeSpread, mode:BACK
2026-03-11 13:59:33, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-11 14:02:12, MOVE, v:1, k:ed@princesa, mode:PICK
2026-03-11 14:02:21, MOVE, v:1, k:ed@princesa, mode:BACK
2026-03-11 14:02:30, MOVE, v:1, k:ed@apagando, mode:PICK
2026-03-11 14:10:57, EXEC, v:1, k:ed@apagando, mode:FULL, rate:0, size:5
2026-03-11 14:13:18, MOVE, v:1, k:ed@apagando, mode:BACK
