2026-03-13 18:34:25, MOVE, v:1, k:ed@manipulacao, mode:DOWN
2026-03-13 18:34:27, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-13 18:34:29, MOVE, v:1, k:ed@manipulacao, mode:BACK
2026-03-13 18:34:31, MOVE, v:1, k:ed@manipulacao, mode:PICK
2026-03-13 18:39:03, MOVE, v:1, k:ed@especiais, mode:DOWN
2026-03-13 18:39:08, MOVE, v:1, k:ed@especiais, mode:PICK
2026-03-13 18:40:30, MOVE, v:1, k:ed@especiais, mode:BACK
2026-03-13 18:41:22, MOVE, v:1, k:ed@rotacoes, mode:PICK
2026-03-13 18:41:35, MOVE, v:1, k:ed@rotacoes, mode:BACK
2026-03-13 18:41:47, MOVE, v:1, k:ed@pintando, mode:DOWN
2026-03-13 18:41:51, MOVE, v:1, k:ed@mumia, mode:DOWN
2026-03-13 18:41:52, MOVE, v:1, k:ed@fuga, mode:DOWN
2026-03-13 18:41:52, MOVE, v:1, k:ed@pedra, mode:DOWN
2026-03-13 18:41:53, MOVE, v:1, k:ed@casais, mode:DOWN
2026-03-13 18:41:53, MOVE, v:1, k:ed@baruel, mode:DOWN
2026-03-13 18:41:54, MOVE, v:1, k:ed@gomos, mode:DOWN
2026-03-13 18:41:57, MOVE, v:1, k:ed@pintando, mode:PICK
2026-03-13 18:42:25, MOVE, v:1, k:ed@pintando, mode:BACK
2026-03-13 18:42:26, MOVE, v:1, k:ed@mumia, mode:PICK
2026-03-13 18:42:58, MOVE, v:1, k:ed@mumia, mode:BACK
2026-03-13 18:43:00, MOVE, v:1, k:ed@fuga, mode:PICK
2026-03-13 18:43:26, MOVE, v:1, k:ed@fuga, mode:BACK
2026-03-13 18:43:27, MOVE, v:1, k:ed@pedra, mode:PICK
2026-03-13 18:43:48, MOVE, v:1, k:ed@pedra, mode:BACK
2026-03-13 18:43:49, MOVE, v:1, k:ed@casais, mode:PICK
2026-03-13 18:44:14, MOVE, v:1, k:ed@casais, mode:BACK
2026-03-13 18:44:15, MOVE, v:1, k:ed@baruel, mode:PICK
2026-03-13 18:44:43, MOVE, v:1, k:ed@baruel, mode:BACK
2026-03-13 18:44:44, MOVE, v:1, k:ed@gomos, mode:PICK
2026-03-13 18:45:19, MOVE, v:1, k:ed@gomos, mode:BACK
2026-03-13 18:48:35, MOVE, v:1, k:ed@wordsearch, mode:PICK
2026-03-13 18:49:12, MOVE, v:1, k:ed@wordsearch, mode:BACK
2026-03-13 18:49:14, MOVE, v:1, k:ed@subset_sum, mode:PICK
2026-03-13 18:49:17, EXEC, v:1, k:ed@subset_sum, mode:FULL, rate:0, size:5
2026-03-13 18:49:17, MOVE, v:1, k:ed@subset_sum, mode:BACK
2026-03-13 18:49:18, MOVE, v:1, k:ed@subset_sum, mode:PICK
2026-03-13 18:49:38, MOVE, v:1, k:ed@subset_sum, mode:BACK
2026-03-13 18:49:39, MOVE, v:1, k:ed@distancia, mode:PICK
2026-03-13 18:49:58, MOVE, v:1, k:ed@distancia, mode:BACK
2026-03-13 18:49:59, MOVE, v:1, k:ed@permutacoes, mode:PICK
2026-03-13 18:50:22, MOVE, v:1, k:ed@permutacoes, mode:BACK
2026-03-13 18:50:23, MOVE, v:1, k:ed@sudoku, mode:PICK
2026-03-13 18:50:44, MOVE, v:1, k:ed@sudoku, mode:BACK
2026-03-13 18:50:48, MOVE, v:1, k:ed@n_rainhas, mode:PICK
2026-03-13 18:51:44, MOVE, v:1, k:ed@n_rainhas, mode:BACK
2026-03-13 18:52:20, MOVE, v:1, k:ed@vetbuild, mode:PICK
2026-03-13 18:52:39, MOVE, v:1, k:ed@vetbuild, mode:BACK
2026-03-13 18:52:40, MOVE, v:1, k:ed@setbuild, mode:PICK
2026-03-13 18:53:01, MOVE, v:1, k:ed@setbuild, mode:BACK
2026-03-13 18:53:02, MOVE, v:1, k:ed@bettersearch, mode:PICK
2026-03-13 18:53:39, MOVE, v:1, k:ed@bettersearch, mode:BACK
2026-03-13 18:53:41, MOVE, v:1, k:ed@multiset, mode:PICK
2026-03-13 18:54:07, MOVE, v:1, k:ed@multiset, mode:BACK
2026-03-13 18:54:10, MOVE, v:1, k:ed@magicsearch, mode:PICK
2026-03-13 18:54:31, MOVE, v:1, k:ed@magicsearch, mode:BACK
2026-03-13 18:54:33, MOVE, v:1, k:ed@iterador, mode:PICK
2026-03-13 18:56:10, MOVE, v:1, k:ed@iterador, mode:BACK
2026-03-13 18:56:41, MOVE, v:1, k:ed@lista_d1, mode:PICK
2026-03-13 18:57:20, MOVE, v:1, k:ed@lista_d1, mode:BACK
2026-03-13 18:57:21, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-03-13 18:58:02, MOVE, v:1, k:ed@lista_d2, mode:BACK
2026-03-13 18:58:05, MOVE, v:1, k:ed@lista_d4, mode:PICK
2026-03-13 18:58:06, EXEC, v:1, k:ed@lista_d4, mode:FULL, rate:0, size:5
2026-03-13 18:58:07, MOVE, v:1, k:ed@lista_d4, mode:BACK
2026-03-13 18:58:08, MOVE, v:1, k:ed@lista_d4, mode:PICK
2026-03-13 18:58:45, MOVE, v:1, k:ed@lista_d4, mode:BACK
2026-03-13 18:58:55, MOVE, v:1, k:ed@prin_list1, mode:PICK
2026-03-13 18:59:30, MOVE, v:1, k:ed@prin_list1, mode:BACK
2026-03-13 18:59:32, MOVE, v:1, k:ed@editor, mode:PICK
2026-03-13 18:59:57, MOVE, v:1, k:ed@editor, mode:BACK
2026-03-13 18:59:59, MOVE, v:1, k:ed@lista_d3, mode:PICK
2026-03-13 19:00:39, MOVE, v:1, k:ed@lista_d3, mode:BACK
2026-03-13 19:00:41, MOVE, v:1, k:ed@prin_list2, mode:PICK
2026-03-13 19:01:13, MOVE, v:1, k:ed@prin_list2, mode:BACK
2026-03-13 19:01:16, MOVE, v:1, k:ed@controlz, mode:PICK
2026-03-13 19:01:37, MOVE, v:1, k:ed@controlz, mode:BACK
2026-03-13 19:01:38, MOVE, v:1, k:ed@editorint, mode:PICK
